dates,confirmed_cases,deaths_cases,recovered_cases
1/21/2020,330,0,25
1/22/2020,555,0,28
1/23/2020,654,0,30
1/24/2020,941,26,36
1/25/2020,2014,55,49
1/26/2020,2794,80,54
1/27/2020,4473,106,63
1/28/2020,6057,132,110
1/29/2020,7782,170,133
1/30/2020,8234,171,141
1/31/2020,9927,213,220
2/1/2020,12024,259,284
2/2/2020,17294,362,487
2/3/2020,20198,426,621
2/4/2020,24503,492,899
2/5/2020,28274,565,1198
2/6/2020,28353,565,1382
2/7/2020,34899,724,1995
2/8/2020,37549,813,2701
2/9/2020,40536,910,3312
2/10/2020,42767,1013,3950
2/11/2020,45117,1115,4781
2/12/2020,60328,1368,5986
2/13/2020,64422,1491,7064
2/14/2020,64460,1384,7171
